Title,MRP,Discount_price,Discount in percentage
Srushti Gold is now Leoron 2 L Aluminium OuterLid Pressure Cooker With Induction Base,"1,000",625,
Srushti Gold is now Leoron 3 L Hard Anodized OuterLid Pressure Cooker With Induction Base,"1,946","1,099",
Srushti Gold is now Leoron 2 L Stainless Steel OuterLid Pressure Cooker With Induction Base,"1,785",875,
Goodflame Hard Anodized 3 Ltr. Pressure Cooker(Induction Base Black),"4,099","1,299",
Carnival inner lid cooker 1.5 L Aluminium InnerLid Pressure Cooker Without Induction Base,"1,020",585,
Milton Pro Cook Sandwich Bottom Stainless Steel Pressure Cooker with Inner Lid  5 Litres  Silver | Food Grade Nitrile Gasket | Induction | Hot Plate | Flame Safe,"3,475","2,606",
Srushti Gold is now Leoron 3 L Aluminium OuterLid Pressure Cooker Gas Stovetop Compatible,"1,229",625,
Carnival Red cooker 1.5 L Aluminium InnerLid Pressure Cooker With Induction Base,"1,599",721,
Goodflame Handi 3 Ltr. Pressure Cooker(Induction Base Silver),"4,099","1,075",
Srushti Gold is now Leoron 2 L Aluminium OuterLid Pressure Cooker Gas Stovetop Compatible,950,625,
Milton Pro Cook Triply Pressure Cooker With Outer Lid ( 5 litre) Silver,"4,625","3,465",
Srushti Gold is now Leoron 5 L Aluminium OuterLid Pressure Cooker With Induction Base,"1,450",749,
Milton Pro Cook Sandwich Bottom Stainless Steel Pressure Cooker with Outer Lid  3 Litres  Silver | Gasket Release System Food Safe | Food Safe | Induction | Hot Plate | Flame Safe,"2,665","1,999",
Carnival Blue cooker 1.5 L Aluminium InnerLid Pressure Cooker With Induction Base,"1,599",721,
Srushti Gold is now Leoron 3 L Aluminium InnerLid Pressure Cooker Gas Stovetop Compatible,"1,135",649,
Pigeon 3 L 2 L Aluminium OuterLid Pressure Cooker Without Induction Base,"2,195","1,149",
Srushti Gold 5 L Aluminium OuterLid Pressure Cooker Without Induction Base,"1,300",925,
Milton Pro Cook Aluminium Induction Pressure Cooker With Inner Lid  2 litre  Silver,"1,400","1,050",
Pigeon Favourite 5 L Aluminium OuterLid Pressure Cooker With Induction Base,"1,645","1,349",
Carnival Red cooker 3.5 L Aluminium InnerLid Pressure Cooker With Induction Base,"1,799",980,
Kitchen Krafts - K1001108k Copper Stainless Steel Cook n Serve Casseroles ( Set of 5 ) 5500 ml,"1,199",519,
HOMETALES - Red Aluminium Non-Stick Cookware Sets ( Set of 4 ),"2,699","1,299",
HOMETALES - Silver Stainless Steel Enamle ( Set of 3 ),"1,299",419,
HOMETALES - Red Aluminium Non-Stick Cookware Sets ( Set of 2 ),"1,399",769,
Milton Pro Cook Triply Stainless Steel Tasla with Lid  26 cm / 3.6 Litre  Silver | Dishwasher Safe | Sturdy Handles | induction Safe | Flame Safe | Hot Plate Safe,"3,120","2,339",
Kitchen Krafts COPPOER BOTTOM HANDI 5 Piece Cookware Set,"1,499",725,
Navrang Nonstick Roti Tawa Aluminum 27.5cm,598,419,
HOMETALES Stainless Steel Cook & Serve Dutch oven/Handi Pack of 2  with Glass Lid  (1000ml each),"1,299",589,
HOMETALES Non-Stick Cookware Set of 4  Kadai (2200ml)  Frypan (1400ml)  Flat Tawa (25cm) & Steel Lid  2.5mm Thickness,"2,299","1,109",
The Indus Valley Dutch Oven with Lid- 2 Piece Cookware Set,"4,000","2,109",
Dynore Non stick 5 Piece Cookware Set,"2,500","1,749",
HOMETALES Non-Stick Cookware Set of 3  23cm Kadai (2200ml)  23cm Frypan (1400ml) & Common Steel Lid  Induction Compatible  2.5mm Thickness,"1,999",959,
Navrang 2pc Non Stick Combo Set Dosa Tawa (27cm) and Fry Pan (23cm),925,649,
Milton Pro Cook Triply Stainless Steel Tasla with Lid  30 cm / 5.7 Litre  Silver | Dishwasher Safe | Sturdy Handles | induction Safe | Flame Safe | Hot Plate Safe,"3,940","2,949",
HOMETALES Red Color Stainless Steel Serving Handi Set of 10 U (5 U Handi & 5 U Serving Spoons)  Induction Compatible,"1,799",869,
Milton Pro Cook Kitchen Jewel Set of 5 (Fry pan 24 cm/1.6 Litres; Kadhai 24 cm/2.5 Litres with glass lid; Tawa 25 cm;Nylon Laddle and Spatula)  Maroon | Induction | Dishwasher | Hot Plate | Flame Safe,"5,500","1,599",
HOMETALES Stainless Steel Cookware Set of 2- Kadai - 2000ml  Saucepan - 1500ml,"1,699",789,
Milton Pro Cook Kitchen Jewel Set of 5 (Fry pan 24 cm/1.6 Litres; Kadhai 24 cm/2.5 Litres with glass lid; Tawa 25 cm; Nylon Laddle and Spatula)  Peach | Induction | Dishwasher | Hot Plate | Flame Safe,"5,500","1,599",
HOMETALES - Red Aluminium Non-Stick Cookware Sets ( Set of 2 ),"1,399",429,
HOMETALES Stainless Steel Round Adak (Gunj) / Milk Pan Set Of 3  (1000Ml  1450Ml  1850Ml),"1,499",899,
HOMETALES - Aluminium No Coating Fry Pan ml ( Pack of 1 ),799,552,
HOMETALES - Aluminium No Coating Handi ml ( Pack of 1 ),"1,799",759,
HOMETALES Stainless Steel Multi-Purpose Tope / Patila Set of 5  Capacity (500ml  750ml  1000ml  1300ml  1600ml)  Silver finish  Food Grade,"1,599",609,
Neelam Regular Sauce Pan No Coating Stainless Steel Sauce Pan 15 cm 1150 mL,385,219,
Carnival - Plane handi 7.5 ltr Aluminium No Coating Handi 7500 ml ( Pack of 1 ),"1,890","1,003",
Kitchen Krafts - CB handi -Steel Lid Copper No Coating Handi 5500 ml ( Pack of 5 ),"1,599",625,
HomePro - Red Appam Aluminium Non-Stick Appam Patra 1200 ml ( Pack of 1 ),999,299,
HOMETALES Stainless Steel Cook and Serve Tope  Set of 3 (1000ml  1500ml  2000ml),"1,299",579,
HOMETALES Non-stick Aluminium Handi/Belly Stewpan/Casserole with Lid (3000ml) Granite Finish  3mm Thickness  Induction Compatible,"1,799",799,
Carnival - Kadhai1.5ltr withlid Aluminium Ceramic Pan ml ( Pack of 1 ),799,442,
